No|Chinese|Pinyin|English|part_of_speech
1|阿姨|āyí|aunt, auntie, middle-aged woman|noun
2|啊|a|ah|interjection
3|矮|ǎi|short, low, undersized|adjective
4|爱好|àihào|hobby, interest, pastime|noun
5|安静|ānjìng|quiet, peaceful, silent|adjective
6|把|bǎ|hold, take, handle|preposition
7|班|bān|class|noun
8|搬|bān|move, relocate, shift|verb
9|半|bàn|half|numeral
10|办法|bànfǎ|way, method, solution|noun
11|办公室|bàngōngshì|office, workplace|noun
12|帮忙|bāngmáng|help, assist, give a hand|verb
13|包|bāo|package, bag, wrapper|noun
14|饱|bǎo|full, satisfied, stuffed|adjective
15|北方|běifāng|north|noun
16|被|bèi|by, passive marker|preposition
17|鼻子|bízi|nose|noun
18|比较|bǐjiào|compare, contrast, relatively|verb
19|比赛|bǐsài|match, competition, contest|noun
20|笔记本|bǐjìběn|notebook, notepad, laptop|noun
21|必须|bìxū|must, have to, necessarily|adverb
22|变化|biànhuà|change, variation, transformation|noun
23|别人|biéren|Others|pronoun
24|冰箱|bīngxiāng|Refrigerator|noun
25|菜单|càidān|menu|noun
26|参加|cānjiā|participate in, join, take part in|verb
27|草|cǎo|grass|noun
28|层|céng|layer|noun
29|差|chà|bad, poor, inferior|adjective
30|超市|chāoshì|Supermarket|noun
31|衬衫|chènshān|shirt|noun
32|成绩|chéngjì|achievement, score, grade, result|noun
33|城市|chéngshì|City|noun
34|迟到|chídào|be late, arrive late|verb
35|除了|chúle|except, besides, apart from|preposition
36|船|chuán|ship|noun
37|春|chūn|spring|noun
38|词典|cídiǎn|dictionary, lexicon, wordbook|noun
39|聪明|cōngming|clever, intelligent, smart|adjective
40|打扫|dǎsǎo|clean, sweep, tidy up|verb
41|打算|dǎsuàn|plan, intend, mean to|verb
42|带|dài|belt|noun
43|担心|dānxīn|worry, be concerned, anxious|verb
44|蛋糕|dàngāo|cake, pastry|noun
45|当然|dāngrán|of course, naturally, certainly|adverb
46|地|de||particle
47|灯|dēng|lamp|noun
48|地方|dìfang|place, location, area|noun
49|地铁|dìtiě|metro|noun
50|地图|dìtú|map, chart, atlas|noun
51|电梯|diàntī|Elevator|noun
52|电子邮件|diànzǐyóujiàn|E-mail|noun
53|东|dōng|east|noun
54|冬|dōng|winter|noun
55|动物|dòngwù|animal, creature, beast|noun
56|短|duǎn|short, brief, lacking|adjective
57|段|duàn|paragraph, section, segment|noun
58|锻炼|duànliàn|exercise, work out, train|verb
59|多么|duōme|how, what, such|adverb
60|饿|è|hungry, starving|adjective
61|不但……而且……|búdàn…érqiě…|not only...but also...|conjunction
62|耳朵|ěrduo|Ears|noun
63|发|fā|send out, deliver, issue|verb
64|发烧|fāshāo|have a fever, run a temperature|verb
65|发现|fāxiàn|find, discover, detect|verb
66|方便|fāngbiàn|convenient, handy, easy|adjective
67|放|fàng|put, place, release|verb
68|放心|fàngxīn|don't worry, feel assured, rest assured|verb
69|分|fēn|min|noun
70|附近|fùjìn|nearby|noun
71|复习|fùxí|review, revise, go over|verb
72|干净|gānjìng|clean, tidy, neat|adjective
73|感兴趣|gǎnxìngqù|be interested in, find interesting|verb
74|感冒|gǎnmào|catch a cold, have a cold|verb
75|刚才|gāngcái|just now, a moment ago|adverb
76|个子|gèzi|height|noun
77|跟|gēn|with, and, follow|preposition
78|根据|gēnjù|according to, based on, in light of|preposition
79|更|gèng|more, even more, further|adverb
80|公斤|gōngjīn|Kg.|noun
81|公园|gōngyuán|Park|noun
82|故事|gùshi|Story|noun
83|刮风|guāfēng|Windy|verb
84|关|guān|shut|verb
85|关系|guānxì|relationship|noun
86|关心|guānxīn|Care for|verb
87|关于|guānyú|about, concerning, regarding|preposition
88|国家|guójiā|Country|noun
89|过去|guòqù|Past times|noun
90|过（动词）|guò|pass|verb
91|还是|háishì|still, nevertheless, or|adverb
92|害怕|hàipà|Fear|verb
93|黑板|hēibǎn|blackboard|noun
94|后来|hòulái|later|noun
95|护照|hùzhào|passport|noun
96|花（动词）|huā|spend|verb
97|花（名词）|huā|flower|noun
98|画|huà|painting|noun
99|坏|huài|bad, broken, harmful|adjective
100|欢迎|huānyíng|Welcome|verb
101|还（动词）|huán|Return|verb
102|环境|huánjìng|Environment|noun
103|换|huàn|change|verb
104|黄河|huánghé|Yellow River|noun
105|回答|huídá|Answer|verb
106|会议|huìyì|Meeting|noun
107|或者|huòzhě|or, perhaps, maybe|conjunction
108|几乎|jīhū|almost, nearly, practically|adverb
109|机会|jīhuì|Opportunity|noun
110|极|jí|extremely, utterly, poles|adverb
111|记得|jìde|remember|verb
112|季节|jìjié|Season|noun
113|检查|jiǎnchá|inspect|verb
114|简单|jiǎndān|simple, easy, uncomplicated|adjective
115|健康|jiànkāng|healthy, wholesome, fit|adjective
116|见面|jiànmiàn|meet|verb
117|讲|jiǎng|speak|verb
118|教|jiāo|teach|verb
119|角|jiǎo|horn|noun
120|脚|jiǎo|foot|noun
121|接|jiē|pick,get|verb
122|街道|jiēdào|Street|noun
123|结婚|jiéhūn|marry|verb
124|结束|jiéshù|End|verb
125|节目|jiémù|program|noun
126|节日|jiérì|festival|noun
127|解决|jiějué|Solve|verb
128|借|jiè|borrow|verb
129|经常|jīngcháng|often, frequently, regularly|adverb
130|经过|jīngguò|After, through|verb
131|经理|jīnglǐ|manager|noun
132|久|jiǔ|long, lengthy, enduring|adjective
133|旧|jiù|old, used, worn|adjective
134|句子|jùzi|sentence|noun
135|决定|juédìng|Decision|noun
136|渴|kě|thirsty, parched|adjective
137|可爱|kě'ài|lovely, cute, adorable|adjective
138|刻|kè|moment|noun
139|客人|kèrén|Guest|noun
140|空调|kōngtiáo|Air conditioner|noun
141|口|kǒu|mouth|noun
142|哭|kū|cry|verb
143|裤子|kùzi|trousers|noun
144|筷子|kuàizi|chopsticks|noun
145|蓝|lán|blue|adjective
146|老|lǎo|old|adjective
147|离开|líkāi|leave|verb
148|礼物|lǐwù|gift|noun
149|历史|lìshǐ|History|noun
150|脸|liǎn|face|noun
151|聊天|liáotiān|chat|verb
152|练习|liànxí|Practice|verb
153|辆|liàng|Car|noun
154|了解|liǎojiě|understand|verb
155|邻居|línjū|neighbor|noun
156|留学|liúxué|Overseas Study|verb
157|楼|lóu|floor|noun
158|绿|lǜ|green|adjective
159|马|mǎ|Horse|noun
160|马上|mǎshàng|right away, immediately, at once|adverb
161|满意|mǎnyì|Satisfied|adjective
162|帽子|màozi|Hat|noun
163|米|mǐ|rice|noun
164|面包|miànbāo|Bread|noun
165|明白|míngbai|clear|adjective
166|拿|ná|take|verb
167|奶奶|nǎinai|grandma|noun
168|南|nán|south|noun
169|难|nán|difficult|adjective
170|难过|nánguò|sad|adjective
171|年级|niánjí|grade|noun
172|年轻|niánqīng|Young|adjective
173|鸟|niǎo|bird|noun
174|努力|nǔlì|Strive|verb
175|爬山|páshān|Mountain climbing|verb
176|盘子|pánzi|plate|noun
177|胖|pàng|fat|adjective
178|啤酒|píjiǔ|Beer|noun
179|皮鞋|píxié|leather shoes|noun
180|瓶子|píngzi|bottle|noun
181|其实|qíshí|actually, in fact, really|adverb
182|其他|qítā|Other|pronoun
183|骑|qí|ride|verb
184|奇怪|qíguài|strange|adjective
185|起来|qǐlái|get up|verb
186|起飞|qǐfēi|take off|verb
187|清楚|qīngchu|clear|adjective
188|请假|qǐngjià|ask for leave|verb
189|秋|qiū|autumn|noun
190|裙子|qúnzi|skirt|noun
191|然后|ránhòu|then, after that, afterwards|conjunction
192|热情|rèqíng|Enthusiasm|noun
193|认为|rènwéi|think|verb
194|认真|rènzhēn|earnest|adjective
195|容易|róngyì|easily|adjective
196|如果|rúguǒ|if, in case, provided that|conjunction
197|伞|sǎn|umbrella|noun
198|上网|shàngwǎng|Surf the Internet|verb
199|生气|shēngqì|get angry|verb
200|声音|shēngyīn|voice|noun
201|试|shì|try|verb
202|世界|shìjiè|world|noun
203|瘦|shòu|thin|adjective
204|舒服|shūfu|comfortable|adjective
205|叔叔|shūshu|uncle|noun
