No|Chinese|Pinyin|English|part_of_speech
1|挨|ái|Next to|noun
2|癌症|áizhèng|cancer|noun
3|爱不释手|àibúshìshǒu|So much that one cannot bear to part with it|noun
4|爱戴|àidài|love and esteem|noun
5|暧昧|àimèi|ambiguous|adj
6|安宁|ānníng|peaceful; calm|adj
7|安详|ānxiáng|serene; composed|noun
8|安置|ānzhì|put; arrange for|noun
9|暗示|ànshì|suggest secretly|adv
10|案件|ànjiàn|law case; case|noun
11|案例|ànlì|case|noun
12|按摩|ànmó|massage|noun
13|昂贵|ángguì|expensive|adj
14|凹凸|āotū|concave-convex|noun
15|熬|áo|Boil|noun
16|奥秘|àomì|secret|noun
17|扒|bā|hold on to; dig up; push aside;|noun
18|疤|bā|scar|noun
19|巴不得|bābude|eagerly look forward to|noun
20|巴结|bājié|stutter|noun
21|拔苗助长|bámiáozhùzhǎng|Spoil things by excessive enthusiasm|noun
22|把关|bǎguān|hold the pass|noun
23|把手|bǎshou|knob|noun
24|霸道|bàdào|overbearing|noun
25|罢工|bàgōng|Strike|noun
26|掰|bāi|break off with fingers and thumb|noun
27|摆脱|bǎituō|cast off|noun
28|拜访|bàifǎng|visit|verb
29|拜年|bàinián|congratulate the New Year|noun
30|拜托|bàituō|request|noun
31|败坏|bàihuài|Corrupt|noun
32|斑|bān|speckle|noun
33|颁布|bānbù|promulgate; issue|noun
34|颁发|bānfā|award; issue|noun
35|版本|bǎnběn|Edition|noun
36|半途而废|bàntú’érfèi|Give up halfway|noun
37|伴侣|bànlǚ|partner; mate|verb
38|伴随|bànsuí|go with|noun
39|扮演|bànyǎn|Play the role|noun
40|绑架|bǎngjià|Kidnap|noun
41|榜样|bǎngyàng|example|noun
42|磅|bàng|pound|noun
43|包庇|bāobì|Shield|noun
44|包袱|bāofu|Burden|noun
45|包围|bāowéi|Surround|noun
46|包装|bāozhuāng|pack; put up; make up|verb
47|饱和|bǎohé|saturated|noun
48|饱经沧桑|bǎojīngcāngsāng|Have seen much of the changes in human life|noun
49|保管|bǎoguǎn|Safekeeping|noun
50|保密|bǎomì|secrecy|noun
51|保姆|bǎomǔ|nurse; mammy|noun
52|保守|bǎoshǒu|Conservative|adj
53|保卫|bǎowèi|Defend|noun
54|保养|bǎoyǎng|maintain|noun
55|保障|bǎozhàng|guarantee|noun
56|保重|bǎozhòng|take care of oneself|noun
57|抱负|bàofù|ambition|noun
58|报仇|bàochóu|revenge|noun
59|报酬|bàochou|remuneration|noun
60|报答|bàodá|reciprocate; pay back; repay|noun
61|报复|bàofù|Payback|noun
62|报警|bàojǐng|call the police|noun
63|报销|bàoxiāo|submit and expense account|noun
64|爆发|bàofā|burst|noun
65|爆炸|bàozhà|blast|noun
66|曝光|bàoguāng|exposure|noun
67|暴力|bàolì|violence|noun
68|暴露|bàolù|Expose|noun
69|悲哀|bēi’āi|Grief|noun
70|悲惨|bēicǎn|miserable|adj
71|卑鄙|bēibǐ|despicable|adj
72|北极|běijí|arctic|noun
73|被动|bèidòng|passive|adj
74|被告|bèigào|Defendant|noun
75|背叛|bèipàn|sellout; betray|noun
76|背诵|bèisòng|recite|noun
77|备份|bèifèn|backups|noun
78|备忘录|bèiwànglù|Memorandum|noun
79|贝壳|bèikè|shell; conch|noun
80|奔波|bēnbō|rush about|noun
81|奔驰|bēnchí|run quickly|adv
82|本能|běnnéng|instinct|noun
83|本钱|běnqián|Capital|adj
84|本人|běnrén|oneself|noun
85|本身|běnshēn|itself|noun
86|本事|běnshi|Skill|verb
87|笨拙|bènzhuō|clumsy|noun
88|崩溃|bēngkuì|collapse breakdown|verb
89|甭|béng|Not|noun
90|蹦|bèng|Jump|noun
91|迸发|bèngfā|Burst|noun
92|逼迫|bīpò|force; compel|noun
93|鼻涕|bítì|nasal mucus|noun
94|比方|bǐfāng|Example|noun
95|比喻|bǐyù|comparison; trope|noun
96|比重|bǐzhòng|specific gravity; proportion|noun
97|鄙视|bǐshì|despise|noun
98|臂|bì|arm|noun
99|弊病|bìbìng|ills|noun
100|弊端|bìduān|malpractice|noun
101|闭塞|bìsè|Occlusion|noun
102|鞭策|biāncè|urge on|noun
103|编织|biānzhī|Weave|noun
104|边疆|biānjiāng|frontier|noun
105|边界|biānjiè|boundary|noun
106|边境|biānjìng|border; frontier|noun
107|边缘|biānyuán|edge|noun
108|扁|biǎn|flat|noun
109|贬低|biǎndī|depreciate|verb
110|贬义|biǎnyì|derogatory sense|noun
111|遍布|biànbù|All over|noun
112|便利|biànlì|facilitate|verb
113|便条|biàntiáo|Note|noun
114|便于|biànyú|Easy to|noun
115|变故|biàngù|Misfortune|noun
116|变迁|biànqiān|Changes|noun
117|变质|biànzhì|deteriorate|verb
118|辩护|biànhù|Defend|noun
119|辩解|biànjiě|Explain|noun
120|辩证|biànzhèng|dialectical|adj
121|辨认|biànrèn|distinguish|noun
122|辫子|biànzi|queue; plait|noun
123|标本|biāoběn|specimen; demo|noun
124|标记|biāojì|sign|noun
125|标题|biāotí|title; heading|noun
126|表决|biǎojué|Vote|noun
127|表态|biǎotài|clarify one’s position|noun
128|表彰|biǎozhāng|commend; cite|noun
129|憋|biē|hold back|noun
130|别墅|biéshù|Villa|noun
131|别致|biézhì|Unique|noun
132|别扭|bièniu|unnatural; awkward|noun
133|濒临|bīnlín|On the verge of|noun
134|冰雹|bīngbáo|hail|noun
135|丙|bǐng|third|noun
136|并非|bìngfēi|not so|noun
137|并列|bìngliè|Parallel|noun
138|拨|bō|dial|adj
139|播种|bōzhòng|Sow|noun
140|波浪|bōlàng|wave|verb
141|波涛|bōtāo|waves|verb
142|剥削|bōxuē|exploitation|noun
143|博大精深|bódàjīngshēn|Broad and profound|noun
144|博览会|bólǎnhuì|exposition|noun
145|搏斗|bódòu|struggle; fight|noun
146|伯母|bómǔ|Aunt|noun
147|薄弱|bóruò|weak|adj
148|不顾|búgù|disregard|noun
149|不愧|búkuì|Worthy|noun
150|不料|búliào|Unexpectedly|adv
151|不像话|búxiànghuà|unreasonable|adj
152|不屑一顾|búxièyígù|A contemptuous disregard|noun
153|补偿|bǔcháng|compensate|verb
154|补救|bǔjiù|remedy|noun
155|补贴|bǔtiē|subsidy|noun
156|哺乳|bǔrǔ|lactation|noun
157|捕捉|bǔzhuō|Catch|noun
158|不得已|bùdéyǐ|have no alternative but to|noun
159|不妨|bùfáng|might as well|noun
160|不敢当|bùgǎndāng|I really don’t deserve this.|verb
161|不禁|bùjīn|Can not help but|noun
162|不堪|bùkān|can’t bear|noun
163|不可思议|bùkěsīyì|It is beyond logic and above reason|noun
164|不免|bùmiǎn|unavoidable|adj
165|不时|bùshí|now and then|noun
166|不惜|bùxī|not spare; not hesitate|verb
167|不相上下|bùxiāngshàngxià|about the same; equally matched|noun
168|不言而喻|bùyán’éryù|Self-evident|noun
169|不由得|bùyóude|Cannot help|noun
