No|Chinese|Pinyin|English|part_of_speech
1|唉|āi|alas, ah, oh (expressing sadness or regret)|interjection
2|爱心|àixīn|love, kindness, compassion|noun
3|安慰|ānwèi|comfort, console, reassure|verb
4|岸|àn|bank, shore, coast|noun
5|熬夜|áoyè|stay up late, burn the midnight oil|verb
6|包含|bāohán|contain, include, comprise|verb
7|宝贵|bǎoguì|valuable, precious|adjective
8|保存|bǎocún|preservation, conservation, storage|noun
9|保留|bǎoliú|retain, reserve, keep|verb
10|报到|bàodào|register, check in, report|verb
11|报告|bàogào|presentation, report, speech|noun
12|悲观|bēiguān|pessimism, negativity|noun
13|背景|bèijǐng|background, context, setting|noun
14|被子|bèizi|quilt, blanket, comforter|noun
15|本科|běnkē|undergraduate, bachelor's degree|noun
16|本领|běnlǐng|ability, skill, capability|noun
17|比例|bǐlì|proportion, ratio, scale|noun
18|必然|bìrán|inevitable, certain|adjective
19|必要|bìyào|necessary, essential|adjective
20|鞭炮|biānpào|firecracker, firework|noun
21|辩论|biànlùn|debate, discussion, argument|noun
22|标志|biāozhì|sign, symbol, mark|noun
23|表达|biǎodá|expression, articulation|noun
24|表面|biǎomiàn|surface, exterior, appearance|noun
25|表情|biǎoqíng|expression, facial expression|noun
26|表现|biǎoxiàn|performance, manifestation, display|noun
27|冰激凌|bīngjīlíng|ice cream, frozen dessert|noun
28|玻璃|bōli|glass, glassware|noun
29|博物馆|bówùguǎn|museum, exhibition hall|noun
30|不断|búduàn|constantly, continuously|adverb
31|不见得|bújiàndé|not necessarily, may not|adverb
32|不耐烦|búnàifán|impatient, irritable|adjective
33|补充|bǔchōng|supplement, complement, add|verb
34|不然|bùrán|otherwise, or else|adverb
35|不足|bùzú|insufficient, inadequate|adjective
36|部门|bùmén|department, division, section|noun
37|财产|cáichǎn|property, assets, wealth|noun
38|踩|cǎi|step on, tread, trample|verb
39|采取|cǎiqǔ|take, adopt, employ|verb
40|参考|cānkǎo|reference resources, reference materials|noun
41|操场|cāochǎng|playground, sports ground, field|noun
42|插|chā|insert, plug in, stick in|verb
43|叉子|chāzi|fork, utensil|noun
44|拆|chāi|remove, tear down, dismantle|verb
45|产生|chǎnshēng|produce, generate, create|verb
46|常识|chángshí|common sense, general knowledge|noun
47|潮湿|cháoshī|damp, moist, humid|adjective
48|吵|chǎo|noisy, loud, quarrelsome|adjective
49|车库|chēkù|garage, carport|noun
50|彻底|chèdǐ|thorough, complete, radical|adjective
51|趁|chèn|while, during, take advantage of|preposition
52|称|chēng|call, name, address as|verb
53|称赞|chēngzàn|praise, compliment, commendation|noun
54|承担|chéngdān|bear, undertake, assume|verb
55|承受|chéngshòu|bear, endure, withstand|verb
56|程序|chéngxù|program, procedure, process|noun
57|成立|chénglì|establish, set up, found|verb
58|成人|chéngrén|adult, grown-up|noun
59|成语|chéngyǔ|idiom, set phrase|noun
60|诚恳|chéngkěn|sincere, earnest|adjective
61|持续|chíxù|continuous, sustained|adjective
62|尺子|chǐzi|ruler, measuring stick|noun
63|冲|chōng|rush, charge, dash|verb
64|充分|chōngfèn|fully, completely|adverb
65|重复|chóngfù|repeat, duplicate|verb
66|宠物|chǒngwù|pet, companion animal|noun
67|抽象|chōuxiàng|abstract, theoretical|adjective
68|丑|chǒu|ugly, unattractive|adjective
69|出口|chūkǒu|exit, way out|noun
70|出示|chūshì|show, present, display|verb
71|出席|chūxí|attend, be present at|verb
72|除非|chúfēi|unless, except if|conjunction
73|除夕|chúxī|New Year's Eve, eve of Chinese New Year|noun
74|处理|chǔlǐ|handle, deal with, process|verb
75|传染|chuánrǎn|contagion, infection|noun
76|传统|chuántǒng|tradition, custom, convention|noun
77|闯|chuǎng|rush, dash, charge|verb
78|吹|chuī|blow, play (wind instrument)|verb
79|此外|cǐwài|in addition, moreover|adverb
80|次要|cìyào|secondary, subordinate|adjective
81|匆忙|cōngmáng|hastily, hurriedly|adverb
82|从而|cóng'ér|thus, thereby|adverb
83|从前|cóngqián|before, previously|adverb
84|粗糙|cūcāo|rough, coarse|adjective
85|醋|cù|vinegar, sourness|noun
86|促使|cùshǐ|urge, prompt, impel|verb
87|措施|cuòshī|measures, steps, actions|noun
88|打工|dǎgōng|work, do part-time job|verb
89|大厦|dàshà|large building, skyscraper|noun
90|大象|dàxiàng|elephant|noun
91|代表|dàibiǎo|representative, delegate|noun
92|待遇|dàiyù|treatment, salary, benefits|noun
93|单调|dāndiào|monotonous, dull|adjective
94|单位|dānwèi|company, work unit, organization|noun
95|担任|dānrèn|serve as, act as, hold position|verb
96|耽误|dānwu|delay, hold up, waste time|verb
97|淡|dàn|light, weak, mild|adjective
98|倒霉|dǎoméi|have bad luck, be unfortunate|verb
99|道理|dàolǐ|truth, reason, principle|noun
100|登记|dēngjì|register, sign up, check in|verb
101|等于|děngyú|equal to, equivalent to|verb
102|滴|dī|drop, drip|noun
103|敌人|dírén|enemy, opponent, foe|noun
104|递|dì|delivery, hand over|noun
105|地毯|dìtǎn|carpet, rug|noun
106|地震|dìzhèn|earthquake, seismic activity|noun
107|电池|diànchí|battery, cell|noun
108|顶|dǐng|top, peak, summit|noun
109|冻|dòng|freeze, congeal|verb
110|动画片|dònghuàpiàn|cartoon, animation|noun
111|逗|dòu|funny, amusing|adjective
112|独特|dútè|unique, special, distinctive|adjective
113|度过|dùguò|spend, pass, get through|verb
114|对比|duìbǐ|contrast, comparison|noun
115|对待|duìdài|treat, handle, deal with|verb
116|对手|duìshǒu|opponent, rival, competitor|noun
117|吨|dūn|ton, metric ton|noun
118|顿|dùn|meal, time|noun
119|多亏|duōkuī|thanks to, fortunately|adverb
120|朵|duǒ|classifier for flowers|noun
121|发表|fābiǎo|publish, make public|verb
122|发达|fādá|develop, advance, prosper|verb
123|发挥|fāhuī|develop, bring into play|verb
124|发票|fāpiào|invoice, receipt, bill|noun
125|发言|fāyán|give a speech, speak|verb
126|罚款|fákuǎn|fine, penalize|verb
127|法院|fǎyuàn|court, courthouse|noun
128|繁荣|fánróng|boom, prosperity|noun
129|反而|fǎn'ér|instead, on the contrary|adverb
130|反应|fǎnyìng|reaction, response|noun
131|反正|fǎnzhèng|anyway, anyhow|adverb
132|范围|fànwéi|range, scope, extent|noun
133|方案|fāng'àn|programme, plan, scheme|noun
134|方式|fāngshì|mode, way, manner|noun
135|妨碍|fáng'ài|hinder, obstruct, impede|verb
136|肥皂|féizào|soap|noun
137|分布|fēnbù|distribution, spread|noun
138|分手|fēnshǒu|break up, part ways|verb
139|风景|fēngjǐng|scenery, landscape, view|noun
140|风险|fēngxiǎn|risk, hazard, danger|noun
141|讽刺|fěngcì|satire, irony, sarcasm|noun
142|否认|fǒurèn|deny, disavow, refuse|verb
143|扶|fú|support, help up, assist|verb
144|复制|fùzhì|copy, duplicate, reproduce|verb
145|改进|gǎijìn|improvement, enhancement|noun
146|改正|gǎizhèng|correction, rectification|noun
147|概括|gàikuò|generalization, summary|noun
148|感想|gǎnxiǎng|feel, have thoughts about|verb
149|赶快|gǎnkuài|hurry up, make haste|verb
150|干活儿|gànhuór|work, do manual labor|verb
151|高级|gāojí|senior, advanced, high-grade|adjective
152|告别|gàobié|farewell, goodbye|noun
153|隔壁|gébì|next door, neighboring|noun
154|个人|gèrén|personal, individual|adjective
155|各自|gèzì|each, respective|pronoun
156|根本|gēnběn|fundamentally, basically|adverb
157|公开|gōngkāi|open, public, overt|adjective
158|公平|gōngpíng|fair, just, equitable|adjective
159|公寓|gōngyù|apartment, flat|noun
160|工厂|gōngchǎng|factory, plant, mill|noun
161|工具|gōngjù|tool, instrument, implement|noun
162|工业|gōngyè|industry, manufacturing|noun
